id,text,archetype,category_role,category_group,datetime,discovered_topic
1769202017.133859,Reminder: @S095YD2KQ4S Revisar [este](https://fintoc.retool.com/apps/96f7bd9e-76c0-11f0-804e-87bc9964caf6/Ops%20Collection/Ops%20Collection%20Tools/page1) dashboard (pestaña Daily Tasks) antes de cerrar el día.,Reminder (Automático),bot,Bots,2026-01-23 21:00:17.133,4
1769200204.434559,Reminder: @S095YD2KQ4S hacer pago de payouts a merchants y refunds ([paso a paso](https://www.notion.so/Dispersi-n-de-payouts-a-merchants-12e0ff41a1e98011ae70f1eb7033ae25?pvs=24#12e0ff41a1e980e792fbde1905fac6fc)),Reminder (Automático),bot,Bots,2026-01-23 20:30:04.434,0
1769189404.595269,"Reminder: @S095YD2KQ4S descargar [nómina de cargos](http://admin.prd.fin/charge_batches), subirla al [banco](https://login.portalempresas.bancochile.cl/bancochile-web/empresa/login/index.html#/login) y cambiar el estado del batch a waiting_paysheet_result ([paso a paso)](https://www.notion.so/fintoc/Subir-n-mina-de-cargos-9b9f67db366c4b649af85b3cb595c43a?source=copy_link)",Reminder (Automático),bot,Bots,2026-01-23 17:30:04.595,0
1769185732.627229,"*Kushki Onboarding*
Nuevo merchant registrado:
```
{
  requestId: 256878c7-6889-4d0d-a32f-ce7ae33961f6,
  submerchantId: 866d1ea7-a1e6-4ca5-91d8-0a6fee127b70,
  submerchantName: Comercial Urubamba,
  status: VALID
}
```
_Automated with this [n8n workflow](https://fintoc.app.n8n.cloud/workflow/qXkFR-lzxzgBg4Iz3rDEz?utm_source=n8n-internal&amp;utm_medium=powered_by&amp;utm_campaign=n8n-nodes-base.slack_cd08dc07a5b9394f799bc9448b6b85fda48d6a5f7b2954d8684222f74de8ea6d)_",RoboCops (Bot),unknown,Otros,2026-01-23 16:28:52.627,6
1769185502.064019,"*Kushki Onboarding*
Nuevo merchant registrado:

_Automated with this [n8n workflow](https://fintoc.app.n8n.cloud/workflow/qXkFR-lzxzgBg4Iz3rDEz?utm_source=n8n-internal&amp;utm_medium=powered_by&amp;utm_campaign=n8n-nodes-base.slack_cd08dc07a5b9394f799bc9448b6b85fda48d6a5f7b2954d8684222f74de8ea6d)_",RoboCops (Bot),unknown,Otros,2026-01-23 16:25:02.064,6
1769181432.680649,"@S095YD2KQ4S me ayudas cambiando la recipient account de esta [org](http://admin.prd.fin/organizations/org_rVbJkpNFEDdM2RX3) pls. Estos son los nuevos:
&gt; Libry SpA
&gt; Rut: 78.277.679-7
&gt; Cuenta Corriente No. 27484050
&gt; Banco Santander",Tareas Operacionales Generales,merchant,Merchants Kushki,2026-01-23 15:17:12.680,0
1769180423.545599,Reminder: @S095YD2KQ4S mover plata de Banco Estado al Security ([paso a paso](https://www.notion.so/fintoc/Subir-n-minas-Banco-Estado-Banco-Security-12e0ff41a1e9807f8dc1f11009203836)),Reminder (Automático),bot,Bots,2026-01-23 15:00:23.545,2
1769180192.975449,"@S095YD2KQ4S me ayudas a revisar si nos llegó esta TEF en nuestra cuenta del BE plisss, para confirmar si se realizará o no un reembolso (cuando la cuenta concilie). :dorime:
• [PI](http://admin.prd.fin/payments/116120120)",Sin Clasificar,support,Soporte,2026-01-23 14:56:32.975,0
1769176105.416529,"@S095YD2KQ4S me ayudas subiendo a Lookout SpA a la plataforma de kushki. Los datos son:
Nombre: Lookout SpA
Url: [https://www.holasomosdeep.com/](https://www.holasomosdeep.com/)
Fecha nacimiento: 20/02/1989
TyC:  [https://docs.google.com/document/d/1G_bL9_fpVl74JchJJM1Kx_fal5EtuQkoUtCUnGJv8Yg/edit?tab=t.0](https://docs.google.com/document/d/1G_bL9_fpVl74JchJJM1Kx_fal5EtuQkoUtCUnGJv8Yg/edit?tab=t.0)",Onboarding Merchants Kushki,merchant,Merchants Kushki,2026-01-23 13:48:25.416,3
1769175629.195629,"@S095YD2KQ4S me ayudas subiendo a Anka Joyería a la plataforma de kushki. Los datos son:
Nombre: Anka SpA
Url: [https://ankajoyeria.com/](https://ankajoyeria.com/)
Fecha nacimiento: 16/09/1991
TyC:  [https://docs.google.com/document/d/1GVPg2yZ369JxNyCzfgh7AoYVau4SNK60QVAaQtUzwEk/edit?tab=t.0](https://docs.google.com/document/d/1GVPg2yZ369JxNyCzfgh7AoYVau4SNK60QVAaQtUzwEk/edit?tab=t.0)",Onboarding Merchants Kushki,merchant,Merchants Kushki,2026-01-23 13:40:29.195,3
1769173419.959309,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1383345
RUT: 771433855
Statement Date: 2026-01-23
Missing files: current: 2026_01_23
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-23 13:03:39.959,5
1769173200.815769,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1401335
RUT: 760791814
Statement Date: 2026-01-23
Missing files: current: 2026_01_23
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-23 13:00:00.815,5
1769173200.680969,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1383345
RUT: 771433855
Statement Date: 2026-01-23
Missing files: current: 2026_01_23
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-23 13:00:00.680,5
